verb,agency,power,verb_prep,prep,lemma
earns,agency_pos,power_equal,earns,,earn
eases,agency_pos,power_equal,eases,,ease
eats,agency_pos,power_agent,eats,,eat
echoes,agency_equal,power_theme,echoes,,echo
edges,agency_pos,power_agent,edges,,edge
edits,agency_pos,power_agent,edits,,edit
educates,agency_pos,power_agent,educates,,educate
ejects,agency_pos,power_agent,ejects,,eject
elaborates,agency_pos,power_theme,elaborates,,elaborate
elbows,agency_pos,power_agent,elbows,,elbow
elects,agency_pos,power_agent,elects,,elect
elevates,agency_pos,power_equal,elevates,,elevate
eliminates,agency_pos,power_agent,eliminates,,eliminate
emanates,agency_pos,power_agent,emanates,,emanate
embarrasses,agency_pos,power_equal,embarrasses,,embarrass
embeds,agency_pos,power_equal,embeds,,embed
emblazons,agency_pos,power_agent,emblazons,,emblazon
embraces,agency_pos,power_agent,embraces,,embrace
embroiders,agency_pos,power_agent,embroiders,,embroider
emerges,agency_pos,,emerges,,emerge
emits,agency_pos,power_theme,emits,,emit
emphasizes,agency_pos,power_agent,emphasizes,,emphasize
employs,agency_pos,power_agent,employs,,employ
empties,agency_pos,power_agent,empties,,empty
enables,agency_pos,power_agent,enables,,enable
enacts,agency_pos,power_equal,enacts,,enact
encases,agency_pos,power_agent,encases,,encase
encircles,agency_pos,power_agent,encircles,,encircle
encloses,agency_equal,power_agent,encloses,,enclose
encounters,agency_neg,power_equal,encounters,,encounter
encourages,agency_pos,power_agent,encourages,,encourage
endangers,agency_equal,power_equal,endangers,,endanger
endorses,agency_pos,power_equal,endorses,,endorse
ends,agency_pos,power_agent,ends,,end
endures,agency_neg,power_theme,endures,,endure
enforces,agency_pos,power_theme,enforces,,enforce
engages,agency_pos,power_agent,engages,,engage
engraves,agency_pos,power_agent,engraves,,engrave
engrosses,agency_pos,power_agent,engrosses,,engross
engulfs,agency_pos,power_agent,engulfs,,engulf
enhances,agency_pos,power_agent,enhances,,enhance
enjoys,agency_neg,power_theme,enjoys,,enjoy
enlists,agency_pos,power_agent,enlists,,enlist
enrages,agency_pos,power_agent,enrages,,enrage
enriches,agency_pos,power_agent,enriches,,enrich
ensures,agency_pos,power_agent,ensures,,ensure
enters,agency_pos,power_agent,enters,,enter
entertains,agency_pos,power_theme,entertains,,entertain
entitles,agency_equal,power_agent,entitles,,entitle
envelops,agency_pos,power_agent,envelops,,envelop
envies,agency_equal,power_theme,envies,,envy
envisions,agency_equal,power_agent,envisions,,envision
equips,agency_pos,power_agent,equips,,equip
erases,agency_pos,power_agent,erases,,erase
erects,agency_pos,power_agent,erects,,erect
erodes,agency_pos,power_agent,erodes,,erode
erupts,agency_pos,,erupts,,erupt
escalates,agency_pos,power_agent,escalates,,escalate
escapes,agency_pos,power_equal,escapes,,escape
escorts,agency_pos,power_agent,escorts,,escort
establishes,agency_pos,power_agent,establishes,,establish
estimates,agency_neg,power_equal,estimates,,estimate
etches,agency_pos,power_agent,etches,,etch
evacuates,agency_pos,power_agent,evacuates,,evacuate
evades,agency_pos,power_theme,evades,,evade
evaluates,agency_pos,power_agent,evaluates,,evaluate
evolves,agency_pos,,evolves,,evolve
exaggerates,agency_pos,power_equal,exaggerates,,exaggerate
examines,agency_equal,power_agent,examines,,examine
exasperates,agency_pos,power_agent,exasperates,,exasperate
exceeds,agency_pos,power_agent,exceeds,,exceed
exchanges,agency_pos,power_agent,exchanges,,exchange
excites,agency_pos,power_equal,excites,,excite
excludes,agency_pos,power_agent,excludes,,exclude
excuses,agency_equal,power_agent,excuses,,excuse
executes,agency_pos,power_agent,executes,,execute
exercises,agency_pos,power_agent,exercises,,exercise
exerts,agency_pos,power_agent,exerts,,exert
exhales,agency_pos,power_agent,exhales,,exhale
exhausts,agency_pos,power_agent,exhausts,,exhaust
exists,agency_neg,,exists,,exist
exits,agency_pos,power_equal,exits,,exit
expands,agency_pos,power_agent,expands,,expand
expects,agency_neg,power_agent,expects,,expect
expels,agency_pos,power_agent,expels,,expel
experiences,agency_neg,power_theme,experiences,,experience
explains,agency_pos,power_theme,explains,,explain
explodes,agency_pos,,explodes,,explode
exploits,agency_pos,power_agent,exploits,,exploit
explores,agency_pos,power_agent,explores,,explore
exposes,agency_pos,power_agent,exposes,,expose
expresses,agency_equal,power_agent,expresses,,express
extends,agency_pos,power_agent,extends,,extend
extinguishes,agency_pos,power_agent,extinguishes,,extinguish
extracts,agency_pos,power_agent,extracts,,extract
eyeballs,agency_pos,power_theme,eyeballs,,eyeball
eyes,agency_equal,power_agent,eyes,,eye
faces,agency_neg,power_equal,faces,,face
fades,agency_neg,,fades,,fade
fails,agency_neg,power_agent,fails,,fail
faints,agency_neg,,faints,,faint
fakes,agency_pos,power_equal,fakes,,fake
fakes,agency_pos,power_agent,fakes out,out,fake
falls,agency_pos,,falls,,fall
falters,agency_neg,,falters,,falter
fancies,agency_neg,power_theme,fancies,,fancy
fans,agency_pos,power_theme,fans,,fan
farts,agency_neg,,farts,,fart
fascinates,agency_neg,power_agent,fascinates,,fascinate
fashions,agency_pos,power_agent,fashions,,fashion
fastens,agency_pos,power_agent,fastens,,fasten
fasts,agency_pos,,fasts,,fast
favors,agency_pos,power_equal,favors,,favor
fears,agency_neg,power_theme,fears,,fear
features,agency_neg,power_agent,features,,feature
feeds,agency_pos,power_agent,feeds,,feed
feels,agency_equal,power_equal,feels,,feel
fees,agency_equal,power_agent,fees,,fee
feigns,agency_pos,power_equal,feigns,,feign
fences,agency_pos,power_agent,fences,,fence
fends,agency_pos,power_equal,fends off,off,fend
fetches,agency_pos,power_agent,fetches,,fetch
fiddles,agency_equal,,fiddles,,fiddle
fidgets,agency_equal,,fidgets,,fidget
fights,agency_pos,power_equal,fights,,fight
figures,agency_pos,power_equal,figures,,figure
files,agency_pos,power_equal,files,,file
fills,agency_pos,power_theme,fills,,fill
films,agency_pos,power_equal,films,,film
filters,agency_pos,power_agent,filters,,filter
finances,agency_pos,power_agent,finances,,finance
finds,agency_equal,power_equal,finds,,find
fingers,agency_pos,power_agent,fingers,,finger
finishes,agency_pos,power_equal,finishes,,finish
fires,agency_pos,power_agent,fires,,fire
fires,agency_pos,power_agent,fires at,at,fire
fishes,agency_pos,power_theme,fishes for,for,fish
fishtails,agency_equal,power_agent,fishtails,,fishtail
fits,agency_pos,power_agent,fits,,fit
fixates,agency_neg,power_theme,fixates on,on,fixate
fixes,agency_pos,power_agent,fixes,,fix
flags,agency_pos,power_agent,flags,,flag
flails,agency_equal,,flails,,flail
flames,agency_pos,,flames,,flame
flanks,agency_pos,power_equal,flanks,,flank
flaps,agency_neg,,flaps,,flap
flares,agency_pos,,flares,,flare
flashes,agency_equal,,flashes,,flash
flattens,agency_pos,power_agent,flattens,,flatten
flees,agency_pos,,flees,,flee
flexes,agency_pos,power_agent,flexes,,flex
flickers,agency_equal,,flickers,,flicker
flicks,agency_pos,power_agent,flicks,,flick
flies,agency_pos,,flies,,fly
flinches,agency_neg,,flinches,,flinch
flings,agency_pos,power_agent,flings,,fling
flips,agency_pos,,flips,,flip
flirts,agency_pos,,flirts,,flirt
floats,agency_neg,,floats,,float
floods,agency_pos,power_agent,floods,,flood
floors,agency_pos,power_equal,floors,,floor
flops,agency_pos,,flops,,flop
flows,agency_neg,,flows,,flow
flushes,agency_pos,power_agent,flushes,,flush
flutters,agency_pos,,flutters,,flutter
focuses,agency_pos,,focuses,,focus
focuses,agency_equal,power_theme,focuses on,on,focus
folds,agency_pos,power_agent,folds,,fold
follows,agency_neg,power_theme,follows,,follow
fondles,agency_pos,power_agent,fondles,,fondle
fools,agency_pos,power_agent,fools,,fool
forbids,agency_pos,power_agent,forbids,,forbid
forces,agency_pos,power_agent,forces,,force
forges,agency_pos,power_agent,forges,,forge
forgets,agency_neg,power_agent,forgets,,forget
forgives,agency_pos,power_agent,forgives,,forgive
forms,agency_pos,power_agent,forms,,form
fosters,agency_equal,power_agent,fosters,,foster
founds,agency_pos,power_agent,founds,,found
frames,agency_pos,power_equal,frames,,frame
freaks,agency_equal,,freaks out,out,freak
frees,agency_pos,power_agent,frees,,free
freezes,agency_pos,power_agent,freezes,,freeze
fries,agency_pos,power_agent,fries,,fry
frightens,agency_pos,power_agent,frightens,,frighten
frisks,agency_pos,power_agent,frisks,,frisk
fronts,agency_pos,power_agent,fronts,,front
frowns,agency_pos,,frowns,,frown
frustrates,agency_pos,power_equal,frustrates,,frustrate
fuels,agency_equal,power_agent,fuels,,fuel
fulfills,agency_pos,power_equal,fulfills,,fulfill
fulfils,agency_pos,power_theme,fulfils,,fulfil
fumbles,agency_equal,,fumbles,,fumble
fumes,agency_pos,,fumes,,fume
functions,agency_pos,,functions,,function
furnishes,agency_pos,power_agent,furnishes,,furnish
furrows,agency_equal,power_agent,furrows,,furrow
fusses,agency_pos,power_theme,fusses over,over,fuss
gags,agency_pos,power_agent,gags,,gag
gags,agency_neg,power_agent,gags on,on,gag
gains,agency_pos,power_agent,gains,,gain
gallops,agency_pos,,gallops,,gallop
gambles,agency_pos,,gambles,,gamble
gaps,agency_pos,power_agent,gaps,,gap
gasps,agency_equal,,gasps,,gasp
gathers,agency_pos,power_agent,gathers,,gather
gauges,agency_pos,power_equal,gauges,,gauge
gawks,agency_equal,,gawks,,gawk
gazes,agency_equal,,gazes,,gaze
generates,agency_pos,power_agent,generates,,generate
gestures,agency_equal,power_agent,gestures,,gesture
gets,agency_pos,power_agent,gets,,get
giggles,agency_pos,,giggles,,giggle
gives,agency_pos,power_agent,gives,,give
glances,agency_neg,,glances,,glance
glares,agency_pos,,glares,,glare
glazes,agency_pos,power_agent,glazes,,glaze
gleams,agency_neg,,gleams,,gleam
glides,agency_equal,,glides,,glide
glimpses,agency_neg,power_agent,glimpses,,glimpse
glints,agency_equal,,glints,,glint
glistens,agency_neg,,glistens,,glisten
glitters,agency_neg,,glitters,,glitter
glowers,agency_equal,,glowers,,glower
glows,agency_neg,,glows,,glow
glues,agency_pos,power_agent,glues,,glue
gnaws,agency_pos,power_agent,gnaws,,gnaw
goes,agency_equal,power_equal,goes,,go
gouges,agency_pos,power_agent,gouges,,gouge
governs,agency_pos,power_agent,governs,,govern
grabs,agency_pos,power_agent,grabs,,grab
graduates,agency_pos,,graduates,,graduate
grants,agency_pos,power_agent,grants,,grant
grapples,agency_pos,power_equal,grapples with,with,grapple
grasps,agency_equal,power_agent,grasps,,grasp
grazes,agency_pos,power_agent,grazes,,graze
greets,agency_equal,power_theme,greets,,greet
grieves,agency_neg,power_theme,grieves,,grieve
grills,agency_pos,power_agent,grills,,grill
grimaces,agency_neg,,grimaces,,grimace
grinds,agency_pos,power_agent,grinds,,grind
grins,agency_pos,,grins,,grin
grips,agency_pos,power_agent,grips,,grip
grits,agency_pos,power_agent,grits,,grit
groans,agency_pos,,groans,,groan
grooms,agency_pos,power_agent,grooms,,groom
gropes,agency_pos,power_agent,gropes,,grope
grounds,agency_pos,power_agent,grounds,,ground
groups,agency_pos,power_agent,groups,,group
growls,agency_pos,,growls,,growl
grows,agency_pos,,grows,,grow
grumbles,agency_pos,,grumbles,,grumble
grunts,agency_pos,,grunts,,grunt
guarantees,agency_pos,power_agent,guarantees,,guarantee
guards,agency_pos,power_theme,guards,,guard
guesses,agency_neg,power_equal,guesses,,guess
guides,agency_pos,power_agent,guides,,guide
gulps,agency_pos,power_agent,gulps,,gulp
gushes,agency_equal,,gushes,,gush
gyrates,agency_pos,,gyrates,,gyrate
hacks,agency_pos,power_agent,hacks,,hack
hails,agency_pos,power_theme,hails,,hail
halts,agency_pos,power_agent,halts,,halt
hammers,agency_pos,power_agent,hammers,,hammer
hampers,agency_pos,power_agent,hampers,,hamper
handcuffs,agency_pos,power_agent,handcuffs,,handcuff
handles,agency_pos,power_agent,handles,,handle
hands,agency_pos,power_agent,hands,,hand
hangs,agency_pos,power_agent,hangs,,hang
happens,agency_neg,,happens,,happen
harasses,agency_pos,power_agent,harasses,,harass
hardens,agency_pos,power_equal,hardens,,harden
harms,agency_pos,power_agent,harms,,harm
hates,agency_neg,power_theme,hates,,hat
hauls,agency_pos,power_equal,hauls,,haul
haunts,agency_neg,power_agent,haunts,,haunt
haves,agency_neg,power_agent,haves,,have
heads,agency_pos,,heads,,head
heals,agency_pos,power_agent,heals,,heal
heaps,agency_pos,power_agent,heaps,,heap
hears,agency_neg,power_theme,hears,,hear
heats,agency_pos,power_agent,heats,,heat
heaves,agency_pos,power_agent,heaves,,heave
hefts,agency_pos,power_agent,hefts,,heft
heightens,agency_pos,power_agent,heightens,,heighten
helps,agency_pos,power_equal,helps,,help
herds,agency_pos,power_agent,herds,,herd
hesitates,agency_neg,,hesitates,,hesitate
hides,agency_pos,power_agent,hides,,hide
highlights,agency_pos,power_equal,highlights,,highlight
hikes,agency_equal,power_equal,hikes,,hike
hires,agency_pos,power_agent,hires,,hire
hisses,agency_pos,,hisses,,hiss
hitches,agency_pos,power_agent,hitches,,hitch
hits,agency_pos,power_agent,hits,,hit
hobbles,agency_pos,,hobbles,,hobble
hoists,agency_pos,power_equal,hoists,,hoist
holds,agency_pos,power_agent,holds,,hold
hollers,agency_pos,power_agent,hollers,,holler
honks,agency_pos,,honks,,honk
honors,agency_pos,power_theme,honors,,honor
hooks,agency_pos,power_agent,hooks,,hook
hopes,agency_equal,power_theme,hopes,,hope
hops,agency_pos,,hops,,hop
horrifies,agency_equal,power_agent,horrifies,,horrify
houses,agency_pos,power_agent,houses,,house
hovers,agency_pos,,hovers,,hover
howls,agency_pos,,howls,,howl
huddles,agency_pos,,huddles,,huddle
huffs,agency_pos,,huffs,,huff
hugs,agency_pos,power_agent,hugs,,hug
humiliates,agency_pos,power_agent,humiliates,,humiliate
hums,agency_pos,power_agent,hums,,hum
hunches,agency_neg,,hunches,,hunch
hunts,agency_pos,power_agent,hunts,,hunt
hurls,agency_pos,power_agent,hurls,,hurl
hurries,agency_pos,power_agent,hurries,,hurry
hurtles,agency_pos,power_agent,hurtles,,hurtle
hurts,agency_pos,power_agent,hurts,,hurt
hushes,agency_pos,power_agent,hushes,,hush
hustles,agency_pos,power_agent,hustles,,hustle
hyperventilates,agency_equal,power_agent,hyperventilates,,hyperventilate
hypnotizes,agency_pos,power_agent,hypnotizes,,hypnotize
ices,agency_pos,power_agent,ices,,ice
identifies,agency_pos,power_agent,identifies,,identify
idles,agency_neg,,idles,,idle
ignites,agency_pos,power_agent,ignites,,ignite
ignores,agency_pos,power_agent,ignores,,ignore
illuminates,agency_pos,power_equal,illuminates,,illuminate
illustrates,agency_pos,power_equal,illustrates,,illustrate
imagines,agency_equal,power_equal,imagines,,imagine
imitates,agency_equal,power_theme,imitates,,imitate
immerses,agency_pos,power_agent,immerses,,immerse
immobilizes,agency_pos,power_agent,immobilizes,,immobilize
impales,agency_pos,power_agent,impales,,impale
implements,agency_pos,power_agent,implements,,implement
implies,agency_neg,power_agent,implies,,imply
implores,agency_pos,power_theme,implores,,implore
imposes,agency_pos,power_agent,imposes,,impose
impresses,agency_neg,power_equal,impresses,,impress
improves,agency_pos,power_agent,improves,,improve
improvises,agency_pos,,improvises,,improvise
inches,agency_equal,,inches,,inch
includes,agency_pos,power_agent,includes,,include
incorporates,agency_pos,power_theme,incorporates,,incorporate
increases,agency_pos,power_agent,increases,,increase
indicates,agency_pos,power_equal,indicates,,indicate
induces,agency_pos,power_agent,induces,,induce
indulges,agency_equal,power_theme,indulges,,indulge
infects,agency_pos,power_equal,infects,,infect
inflicts,agency_pos,power_agent,inflicts,,inflict
influences,agency_pos,power_agent,influences,,influence
informs,agency_pos,power_agent,informs,,inform
inhales,agency_equal,power_agent,inhales,,inhale
inherits,agency_neg,power_agent,inherits,,inherit
initiates,agency_pos,power_agent,initiates,,initiate
injects,agency_pos,power_agent,injects,,inject
injures,agency_pos,power_agent,injures,,injure
inserts,agency_pos,power_agent,inserts,,insert
insists,agency_pos,power_agent,insists,,insist
insists,agency_pos,power_agent,insists on,on,insist
inspects,agency_pos,power_agent,inspects,,inspect
inspires,agency_pos,power_agent,inspires,,inspire
installs,agency_pos,power_agent,installs,,install
instals,agency_pos,power_agent,instals,,instal
instructs,agency_pos,power_agent,instructs,,instruct
insults,agency_pos,power_agent,insults,,insult
insures,agency_pos,power_agent,insures,,insure
integrates,agency_pos,power_agent,integrates,,integrate
intends,agency_neg,power_equal,intends,,intend
intensifies,agency_pos,power_agent,intensifies,,intensify
intercepts,agency_pos,power_agent,intercepts,,intercept
interests,agency_neg,power_theme,interests,,interest
interferes,agency_pos,,interferes,,interfere
interprets,agency_pos,power_equal,interprets,,interpret
interrogates,agency_pos,power_agent,interrogates,,interrogate
interrupts,agency_pos,power_agent,interrupts,,interrupt
intersects,agency_equal,power_equal,intersects,,intersect
intervenes,agency_pos,,intervenes,,intervene
interviews,agency_pos,power_equal,interviews,,interview
intimidates,agency_pos,power_agent,intimidates,,intimidate
intrigues,agency_neg,power_agent,intrigues,,intrigue
introduces,agency_pos,power_agent,introduces,,introduce
intrudes,agency_pos,,intrudes,,intrude
invades,agency_pos,power_agent,invades,,invade
invents,agency_pos,power_agent,invents,,invent
investigates,agency_pos,power_agent,investigates,,investigate
invests,agency_pos,power_agent,invests,,invest
invites,agency_equal,power_agent,invites,,invite
invokes,agency_pos,power_agent,invokes,,invoke
involves,agency_pos,power_agent,involves,,involve
irritates,agency_pos,power_agent,irritates,,irritate
isolates,agency_equal,power_agent,isolates,,isolate
issues,agency_pos,power_agent,issues,,issue
jabs,agency_pos,power_agent,jabs,,jab
jams,agency_pos,power_agent,jams,,jam
jars,agency_pos,power_agent,jars,,jar
jiggles,agency_pos,power_agent,jiggles,,jiggle
jogs,agency_pos,,jogs,,jog
joins,agency_pos,power_theme,joins,,join
jokes,agency_equal,,jokes,,joke
jolts,agency_pos,power_agent,jolts,,jolt
jostles,agency_pos,power_agent,jostles,,jostle
jots,agency_pos,power_theme,jots,,jot
judges,agency_pos,power_agent,judges,,judge
juggles,agency_pos,power_agent,juggles,,juggle
jumps,agency_pos,,jumps,,jump
justifies,agency_pos,power_agent,justifies,,justify
juts,agency_pos,,juts,,jut
keeps,agency_neg,power_agent,keeps,,keep
keys,agency_pos,power_agent,keys,,key
kicks,agency_pos,power_agent,kicks,,kick
kidnaps,agency_pos,power_agent,kidnaps,,kidnap
kids,agency_pos,power_agent,kids,,kid
kills,agency_pos,power_agent,kills,,kill
kisses,agency_pos,power_agent,kisses,,kiss
kneels,agency_pos,,kneels,,kneel
knits,agency_pos,power_agent,knits,,knit
knocks,agency_pos,power_agent,knocks,,knock
knots,agency_pos,power_agent,knots,,knot
knows,agency_neg,power_agent,knows,,know
labels,agency_pos,power_equal,labels,,label
labors,agency_pos,,labors,,labor
laces,agency_pos,power_agent,laces,,lace
lacks,agency_neg,power_theme,lacks,,lack
lags,agency_neg,,lags,,lag
lands,agency_pos,,lands,,land
laps,agency_pos,power_agent,laps,,lap
lashes,agency_pos,power_agent,lashes,,lash
lasts,agency_pos,power_agent,lasts,,last
latches,agency_equal,power_equal,latches,,latch
laughs,agency_pos,,laughs,,laugh
launches,agency_pos,power_agent,launches,,launch
lays,agency_pos,,lays,,lay
leads,agency_pos,power_agent,leads,,lead
leafs,agency_pos,power_agent,leafs,,leaf
leaks,agency_pos,power_equal,leaks,,leak
leans,agency_pos,,leans,,lean
leaps,agency_pos,,leaps,,leap
learns,agency_equal,power_theme,learns,,learn
leaves,agency_equal,power_agent,leaves,,leave
lectures,agency_pos,power_agent,lectures,,lecture
leers,agency_neg,,leers,,leer
lends,agency_equal,power_agent,lends,,lend
lets,agency_equal,power_agent,lets,,let
letters,agency_pos,power_equal,letters,,letter
levels,agency_pos,power_agent,levels,,level
licks,agency_pos,power_equal,licks,,lick
lies,agency_pos,,lies,,lie
lies,agency_pos,power_equal,lies to,to,lie
lifts,agency_pos,power_agent,lifts,,lift
lightens,agency_pos,power_agent,lightens,,lighten
lights,agency_pos,power_agent,lights,,light
likes,agency_equal,power_theme,likes,,like
limits,agency_pos,power_agent,limits,,limit
limps,agency_neg,,limps,,limp
lines,agency_pos,power_equal,lines,,line
lingers,agency_neg,,lingers,,linger
links,agency_pos,power_equal,links,,link
listens,agency_pos,power_theme,listens,,listen
lists,agency_pos,power_equal,lists,,list
litters,agency_pos,power_agent,litters,,litter
lives,agency_equal,power_equal,lives,,live
lives,agency_neg,power_equal,lives on,on,live
loads,agency_pos,power_agent,loads,,load
locates,agency_pos,power_equal,locates,,locate
locks,agency_pos,power_agent,locks,,lock
lodges,agency_equal,,lodges,,lodge
lolls,agency_neg,,lolls,,loll
looks,agency_equal,power_equal,looks,,look
looms,agency_neg,,looms,,loom
loops,agency_pos,power_agent,loops,,loop
loosens,agency_pos,power_agent,loosens,,loosen
looses,agency_pos,power_agent,looses,,loose
lops,agency_pos,power_agent,lops,,lop
loses,agency_equal,power_theme,loses,,lose
lounges,agency_neg,,lounges,,lounge
loves,agency_pos,power_equal,loves,,love
lowers,agency_pos,power_agent,lowers,,lower
lugs,agency_pos,power_theme,lugs,,lug
lumbers,agency_pos,,lumbers,,lumber
lunges,agency_pos,,lunges,,lunge
lurches,agency_pos,power_agent,lurches,,lurch
lures,agency_pos,power_agent,lures,,lure
lurks,agency_neg,,lurks,,lurk
magnifies,agency_pos,power_equal,magnifies,,magnify
mails,agency_pos,power_agent,mails,,mail
maintains,agency_pos,power_agent,maintains,,maintain
makes,agency_pos,power_agent,makes,,make
manages,agency_pos,power_agent,manages,,manage
mandates,agency_pos,power_agent,mandates,,mandate
maneuvers,agency_pos,power_agent,maneuvers,,maneuver
mangles,agency_pos,power_agent,mangles,,mangle
manipulates,agency_pos,power_agent,manipulates,,manipulate
mans,agency_pos,power_agent,mans,,man
manufactures,agency_pos,power_agent,manufactures,,manufacture
marches,agency_equal,,marches,,march
marks,agency_pos,power_agent,marks,,mark
marries,agency_pos,power_equal,marries,,marry
marvels,agency_equal,power_theme,marvels at,at,marvel
mashes,agency_pos,power_agent,mashes,,mash
masks,agency_pos,power_agent,masks,,mask
massages,agency_pos,power_theme,massages,,massage
matches,agency_pos,power_equal,matches,,match
materializes,agency_neg,,materializes,,materialize
mats,agency_equal,power_agent,mats,,mat
matters,agency_neg,,matters,,matter
means,agency_neg,power_equal,means,,mean
measures,agency_pos,power_equal,measures,,measure
mediates,agency_pos,,mediates,,mediate
meets,agency_pos,power_equal,meets,,meet
melts,agency_pos,power_agent,melts,,melt
memorizes,agency_equal,power_equal,memorizes,,memorize
mends,agency_pos,power_agent,mends,,mend
mentions,agency_equal,power_theme,mentions,,mention
merges,agency_pos,power_agent,merges,,merge
mesmerizes,agency_equal,power_agent,mesmerizes,,mesmerize
messes,agency_pos,power_agent,messes up,up,mess
mills,agency_pos,,mills,,mill
mimes,agency_pos,power_theme,mimes,,mime
mimics,agency_pos,power_theme,mimics,,mimic
minds,agency_equal,power_theme,minds,,mind
mingles,agency_pos,power_theme,mingles,,mingle
minimizes,agency_pos,power_agent,minimizes,,minimize
mirrors,agency_equal,power_agent,mirrors,,mirror
misses,agency_neg,power_theme,misses,,miss
mistakes,agency_equal,power_equal,mistakes,,mistake
misunderstands,agency_neg,power_theme,misunderstands,,misunderstand
mixes,agency_pos,power_agent,mixes,,mix
moans,agency_pos,,moans,,moan
mobilizes,agency_pos,power_agent,mobilizes,,mobilize
mocks,agency_pos,power_agent,mocks,,mock
modifies,agency_pos,power_agent,modifies,,modify
monitors,agency_neg,power_agent,monitors,,monitor
mops,agency_pos,power_equal,mops,,mop
motions,agency_pos,power_equal,motions to,to,motion
motivates,agency_pos,power_agent,motivates,,motivate
mounts,agency_pos,power_agent,mounts,,mount
mourns,agency_pos,,mourns,,mourn
mouths,agency_pos,power_equal,mouths,,mouth
moves,agency_pos,power_agent,moves,,move
moves,agency_pos,power_equal,moves on,on,move
mows,agency_pos,power_agent,mows,,mow
muffles,agency_pos,power_agent,muffles,,muffle
mugs,agency_pos,power_agent,mugs,,mug
mulls,agency_equal,,mulls,,mull
multiplies,agency_equal,power_agent,multiplies,,multiply
mumbles,agency_pos,power_equal,mumbles,,mumble
munches,agency_pos,power_agent,munches,,munch
murders,agency_pos,power_agent,murders,,murder
murmurs,agency_equal,power_equal,murmurs,,murmur
musters,agency_pos,power_agent,musters,,muster
mutes,agency_pos,power_agent,mutes,,mute
mutilates,agency_pos,power_agent,mutilates,,mutilate
mutters,agency_equal,power_equal,mutters,,mutter
nails,agency_pos,power_agent,nails,,nail
names,agency_pos,power_agent,names,,name
narrows,agency_pos,power_equal,narrows,,narrow
navigates,agency_pos,power_agent,navigates,,navigate
nears,agency_pos,power_equal,nears,,near
needs,agency_neg,power_theme,needs,,need
neglects,agency_equal,power_agent,neglects,,neglect
negotiates,agency_pos,power_agent,negotiates,,negotiate
nestles,agency_pos,power_agent,nestles,,nestle
nibbles,agency_pos,power_agent,nibbles,,nibble
nods,agency_pos,,nods,,nod
nods,agency_pos,power_theme,nods to,to,nod
nominates,agency_pos,power_agent,nominates,,nominate
noses,agency_pos,power_agent,noses,,nose
notes,agency_equal,power_theme,notes,,note
notices,agency_equal,power_equal,notices,,notice
notifies,agency_pos,power_agent,notifies,,notify
nudges,agency_pos,power_equal,nudges,,nudge
numbers,agency_pos,power_equal,numbers,,number
nurses,agency_pos,power_agent,nurses,,nurse
nuzzles,agency_pos,power_theme,nuzzles,,nuzzle
obeys,agency_neg,power_theme,obeys,,obey
objects,agency_pos,,objects,,object
objects,agency_pos,power_theme,objects to,to,object
obliges,agency_equal,power_theme,obliges,,oblige
obliterates,agency_pos,power_agent,obliterates,,obliterate
obscures,agency_pos,power_agent,obscures,,obscure
observes,agency_neg,power_equal,observes,,observe
obsesses,agency_equal,power_theme,obsesses over,over,obsess
obstructs,agency_pos,power_agent,obstructs,,obstruct
obtains,agency_pos,power_agent,obtains,,obtain
occupies,agency_pos,power_agent,occupies,,occupy
occurs,agency_neg,,occurs,,occur
offends,agency_pos,power_theme,offends,,offend
offers,agency_pos,power_agent,offers,,offer
offers,agency_pos,power_theme,offers to,to,offer
omits,agency_pos,power_agent,omits,,omit
oozes,agency_equal,power_equal,oozes,,ooze
opens,agency_pos,power_agent,opens,,open
operates,agency_pos,power_agent,operates,,operate
opposes,agency_pos,power_equal,opposes,,oppose
orders,agency_pos,power_agent,orders,,order
organizes,agency_pos,power_agent,organizes,,organize
outlaws,agency_pos,power_agent,outlaws,,outlaw
outlines,agency_pos,power_theme,outlines,,outline
overcomes,agency_pos,power_agent,overcomes,,overcome
overflows,agency_neg,,overflows,,overflow
overhears,agency_equal,power_equal,overhears,,overhear
overlaps,agency_equal,power_agent,overlaps,,overlap
overlooks,agency_neg,power_agent,overlooks,,overlook
oversees,agency_pos,power_agent,oversees,,oversee
overtakes,agency_pos,power_agent,overtakes,,overtake
overthrows,agency_pos,power_agent,overthrows,,overthrow
overturns,agency_pos,power_agent,overturns,,overturn
overwhelms,agency_pos,power_agent,overwhelms,,overwhelm
owes,agency_neg,power_theme,owes,,owe
owns,agency_equal,power_agent,owns,,own
paces,agency_pos,power_equal,paces,,pace
packs,agency_pos,power_agent,packs,,pack
paddles,agency_pos,,paddles,,paddle
pads,agency_pos,power_agent,pads,,pad
pages,agency_pos,power_equal,pages,,page
paints,agency_pos,power_agent,paints,,paint
pals,agency_equal,,pals,,pal
panics,agency_pos,power_equal,panics,,panic
pans,agency_pos,power_agent,pans,,pan
pants,agency_equal,,pants,,pant
paralyzes,agency_pos,power_agent,paralyzes,,paralyze
pardons,agency_pos,power_agent,pardons,,pardon
parks,agency_pos,power_agent,parks,,park
participates,agency_pos,,participates,,participate
parts,agency_pos,power_agent,parts,,part
passes,agency_pos,power_agent,passes,,pass
pastes,agency_pos,power_agent,pastes,,paste
patches,agency_pos,power_agent,patches,,patch
patrols,agency_pos,power_agent,patrols,,patrol
